timeStep;reward
1;33.0
2;-18.0
3;39.0
4;21.0
5;20.0
6;12.0
7;-21.0
8;30.0
9;-88.0
10;-18.0
11;35.0
12;35.0
13;14.0
14;-20.0
15;25.0
16;21.0
17;14.0
18;-63.0
19;33.0
20;-18.0
21;14.0
22;-135.0
23;17.0
24;-19.0
25;15.0
26;-7.0
27;40.0
28;-45.0
29;-7.0
30;20.0
31;24.0
32;14.0
33;36.0
34;-21.0
35;13.0
36;-21.0
37;12.0
38;-75.0
39;13.0
40;27.0
41;16.0
42;-17.0
43;16.0
44;40.0
45;12.0
46;-140.0
47;14.0
48;30.0
49;-9.0
50;21.0
51;15.0
52;21.0
53;16.0
54;-60.0
55;36.0
56;-15.0
57;13.0
58;-66.0
59;11.0
60;28.0
61;45.0
62;36.0
63;-75.0
64;-18.0
65;11.0
66;-19.0
67;16.0
68;14.0
69;15.0
70;24.0
71;16.0
72;-125.0
73;-72.0
74;-16.0
75;36.0
76;-36.0
77;35.0
78;20.0
79;39.0
80;14.0
81;-16.0
82;12.0
83;27.0
84;12.0
85;27.0
86;17.0
87;-66.0
88;-16.0
89;13.0
90;-145.0
91;-15.0
92;16.0
93;39.0
94;13.0
95;40.0
96;11.0
97;-21.0
98;17.0
99;-115.0
100;13.0
101;27.0
102;17.0
103;45.0
104;39.0
105;14.0
106;21.0
107;12.0
108;36.0
109;-36.0
110;28.0
111;40.0
112;17.0
113;33.0
114;40.0
115;11.0
116;30.0
117;-7.0
118;30.0
119;17.0
120;24.0
121;17.0
122;24.0
123;16.0
124;39.0
125;14.0
126;21.0
127;13.0
128;30.0
129;-17.0
130;14.0
131;33.0
132;-63.0
133;-20.0
134;14.0
135;27.0
136;11.0
137;-57.0
138;-20.0
139;12.0
140;36.0
141;9.0
142;39.0
143;11.0
144;-145.0
145;-19.0
146;16.0
147;30.0
148;-66.0
149;-19.0
150;14.0
151;24.0
152;17.0
153;27.0
154;13.0
155;30.0
156;-18.0
157;-7.0
158;15.0
159;39.0
160;17.0
161;-19.0
162;12.0
163;27.0
164;17.0
165;36.0
166;9.0
167;21.0
168;15.0
169;24.0
170;13.0
171;36.0
172;-18.0
173;21.0
174;30.0
175;17.0
176;39.0
177;13.0
178;33.0
179;21.0
180;45.0
181;21.0
182;14.0
183;33.0
184;40.0
185;16.0
186;24.0
187;13.0
188;39.0
189;14.0
190;36.0
191;-18.0
192;0.0
193;40.0
194;17.0
195;33.0
196;45.0
197;36.0
198;-9.0
199;14.0
200;25.0
201;39.0
202;14.0
203;33.0
204;30.0
205;17.0
206;21.0
207;16.0
208;33.0
209;40.0
210;11.0
211;14.0
212;35.0
213;30.0
214;21.0
215;30.0
216;15.0
217;-75.0
218;24.0
219;15.0
220;28.0
221;40.0
222;16.0
223;30.0
224;7.0
225;40.0
226;15.0
227;-140.0
228;-63.0
229;-20.0
230;11.0
231;36.0
232;-45.0
233;-7.0
234;45.0
235;30.0
236;28.0
237;15.0
238;33.0
239;30.0
240;14.0
241;-16.0
242;16.0
243;21.0
244;14.0
245;36.0
246;-20.0
247;14.0
248;27.0
249;14.0
250;30.0
251;28.0
252;35.0
253;30.0
254;0.0
255;30.0
256;14.0
257;33.0
258;20.0
259;21.0
260;14.0
261;36.0
262;12.0
263;21.0
264;15.0
265;35.0
266;40.0
267;13.0
268;21.0
269;14.0
270;33.0
271;25.0
272;30.0
273;7.0
274;20.0
275;39.0
276;16.0
277;33.0
278;15.0
279;21.0
280;14.0
281;-15.0
282;14.0
283;36.0
284;14.0
285;27.0
286;16.0
287;21.0
288;13.0
289;27.0
290;14.0
291;30.0
292;0.0
293;15.0
294;36.0
295;15.0
296;39.0
297;11.0
298;24.0
299;12.0
300;24.0
301;13.0
302;33.0
303;30.0
304;14.0
305;33.0
306;25.0
307;30.0
308;28.0
309;15.0
310;36.0
311;11.0
312;27.0
313;15.0
314;36.0
315;16.0
316;30.0
317;21.0
318;40.0
319;16.0
320;30.0
321;12.0
322;30.0
323;28.0
324;30.0
325;12.0
326;27.0
327;13.0
328;27.0
329;17.0
330;39.0
331;15.0
332;33.0
333;20.0
334;39.0
335;16.0
336;30.0
337;14.0
338;40.0
339;11.0
340;36.0
341;12.0
342;24.0
343;12.0
344;21.0
345;12.0
346;27.0
347;16.0
348;24.0
349;12.0
350;33.0
351;20.0
352;27.0
353;12.0
354;21.0
355;13.0
356;24.0
357;17.0
358;39.0
359;15.0
360;30.0
361;12.0
362;30.0
363;35.0
364;30.0
365;16.0
366;24.0
367;15.0
368;21.0
369;12.0
370;39.0
371;14.0
372;36.0
373;14.0
374;24.0
375;12.0
376;39.0
377;17.0
378;36.0
379;12.0
380;30.0
381;14.0
382;15.0
383;33.0
384;45.0
385;33.0
386;15.0
387;21.0
388;13.0
389;30.0
390;-7.0
391;30.0
392;16.0
393;21.0
394;14.0
395;21.0
396;13.0
397;24.0
398;15.0
399;27.0
400;15.0
401;-20.0
402;14.0
403;30.0
404;21.0
405;40.0
406;16.0
407;30.0
408;-7.0
409;15.0
410;39.0
411;11.0
412;33.0
413;45.0
414;30.0
415;0.0
416;40.0
417;12.0
418;39.0
419;14.0
420;27.0
421;13.0
422;21.0
423;16.0
424;27.0
425;14.0
426;36.0
427;14.0
428;27.0
429;14.0
430;24.0
431;12.0
432;21.0
433;17.0
434;36.0
435;16.0
436;33.0
437;30.0
438;11.0
439;27.0
440;15.0
441;-18.0
442;16.0
443;39.0
444;12.0
445;30.0
446;7.0
447;45.0
448;30.0
449;-7.0
450;40.0
451;14.0
