timeStep;reward
1;36.0
2;15.0
3;-21.0
4;20.0
5;39.0
6;13.0
7;-72.0
8;33.0
9;17.0
10;-18.0
11;14.0
12;40.0
13;13.0
14;-63.0
15;-15.0
16;17.0
17;21.0
18;17.0
19;-69.0
20;-18.0
21;12.0
22;-17.0
23;30.0
24;14.0
25;-15.0
26;16.0
27;-15.0
28;12.0
29;-57.0
30;-17.0
31;13.0
32;14.0
33;11.0
34;-19.0
35;16.0
36;0.0
37;45.0
38;-16.0
39;21.0
40;11.0
41;-19.0
42;11.0
43;39.0
44;12.0
45;-135.0
46;-69.0
47;14.0
48;-18.0
49;12.0
50;27.0
51;13.0
52;-130.0
53;12.0
54;24.0
55;17.0
56;-130.0
57;-57.0
58;12.0
59;36.0
60;15.0
61;-60.0
62;16.0
63;-60.0
64;-19.0
65;13.0
66;27.0
67;17.0
68;27.0
69;15.0
70;-120.0
71;-75.0
72;30.0
73;16.0
74;24.0
75;15.0
76;45.0
77;-18.0
78;21.0
79;39.0
80;14.0
81;-16.0
82;11.0
83;-72.0
84;-21.0
85;13.0
86;27.0
87;12.0
88;39.0
89;13.0
90;24.0
91;15.0
92;39.0
93;13.0
94;24.0
95;16.0
96;-135.0
97;-17.0
98;16.0
99;40.0
100;39.0
101;11.0
102;30.0
103;-18.0
104;17.0
105;27.0
106;13.0
107;27.0
108;11.0
109;-145.0
110;-72.0
111;-15.0
112;14.0
113;-16.0
114;17.0
115;39.0
116;17.0
117;36.0
118;11.0
119;27.0
120;14.0
121;-75.0
122;-19.0
123;12.0
124;21.0
125;13.0
126;27.0
127;14.0
128;-63.0
129;39.0
130;14.0
131;20.0
132;24.0
133;12.0
134;36.0
135;13.0
136;21.0
137;15.0
138;24.0
139;17.0
140;39.0
141;12.0
142;24.0
143;12.0
144;21.0
145;12.0
146;24.0
147;17.0
148;27.0
149;11.0
150;21.0
151;15.0
152;24.0
153;17.0
154;30.0
155;16.0
156;24.0
157;15.0
158;39.0
159;17.0
160;27.0
161;9.0
162;21.0
163;25.0
164;27.0
165;12.0
166;30.0
167;11.0
168;30.0
169;12.0
170;27.0
171;17.0
172;21.0
173;17.0
174;21.0
175;12.0
176;36.0
177;12.0
178;24.0
179;16.0
180;36.0
181;12.0
182;33.0
183;14.0
184;-120.0
185;-15.0
186;14.0
187;39.0
188;11.0
189;27.0
190;12.0
191;36.0
192;14.0
193;21.0
194;11.0
195;33.0
196;13.0
197;39.0
198;16.0
199;21.0
200;17.0
201;-120.0
202;12.0
203;21.0
204;15.0
205;30.0
206;15.0
207;33.0
208;16.0
209;39.0
210;14.0
211;33.0
212;15.0
213;27.0
214;14.0
215;36.0
216;15.0
217;39.0
218;13.0
219;27.0
220;14.0
221;39.0
222;16.0
223;27.0
224;16.0
225;24.0
226;17.0
227;27.0
228;12.0
229;24.0
230;13.0
231;39.0
232;12.0
233;24.0
234;12.0
235;36.0
236;11.0
237;30.0
238;14.0
239;33.0
240;15.0
241;36.0
242;12.0
243;33.0
244;11.0
245;33.0
246;14.0
247;39.0
248;11.0
249;27.0
250;12.0
251;39.0
252;13.0
253;21.0
254;15.0
255;21.0
256;11.0
257;30.0
258;13.0
259;27.0
