timeStep;reward
1;27.0
2;0.0
3;35.0
4;-66.0
5;-27.0
6;7.0
7;35.0
8;-66.0
9;-357.0
10;-437.0
11;-323.0
12;-210.0
13;-156.0
14;7.0
15;30.0
16;21.0
17;16.0
18;40.0
19;36.0
20;15.0
21;-18.0
22;14.0
23;27.0
24;16.0
25;-16.0
26;15.0
27;30.0
28;16.0
29;-19.0
30;27.0
31;17.0
32;-20.0
33;12.0
34;36.0
35;14.0
36;-17.0
37;11.0
38;-19.0
39;14.0
40;-16.0
41;-66.0
42;-15.0
43;14.0
44;-66.0
45;12.0
46;-15.0
47;14.0
48;24.0
49;14.0
50;-125.0
51;-18.0
52;17.0
53;21.0
54;17.0
55;-60.0
56;16.0
57;30.0
58;39.0
59;13.0
60;-20.0
61;15.0
62;-57.0
63;-16.0
64;15.0
65;14.0
66;40.0
67;24.0
68;12.0
69;-19.0
70;17.0
71;-130.0
72;-66.0
73;17.0
74;30.0
75;11.0
76;-66.0
77;15.0
78;-130.0
79;-16.0
80;16.0
81;25.0
82;36.0
83;15.0
84;24.0
85;12.0
86;-18.0
87;17.0
88;36.0
89;15.0
90;27.0
91;14.0
92;33.0
93;-17.0
94;13.0
95;25.0
96;33.0
97;-60.0
98;-18.0
99;15.0
100;30.0
101;16.0
102;-75.0
103;-16.0
104;13.0
105;-66.0
106;14.0
107;24.0
108;11.0
109;-120.0
110;-63.0
111;16.0
112;-145.0
113;-60.0
114;11.0
115;21.0
116;13.0
117;7.0
118;20.0
119;36.0
120;17.0
121;-60.0
122;-18.0
123;16.0
124;36.0
125;14.0
126;24.0
127;13.0
128;-140.0
129;14.0
130;21.0
131;17.0
132;36.0
133;15.0
134;33.0
135;35.0
136;14.0
137;36.0
138;14.0
139;24.0
140;15.0
141;27.0
142;14.0
143;27.0
144;11.0
145;21.0
146;12.0
147;21.0
148;45.0
149;30.0
150;14.0
151;36.0
152;12.0
153;-69.0
154;30.0
155;12.0
156;-130.0
157;13.0
158;30.0
159;16.0
160;27.0
161;-75.0
162;11.0
163;39.0
164;11.0
165;24.0
166;15.0
167;39.0
168;15.0
169;30.0
170;11.0
171;21.0
172;14.0
173;36.0
174;12.0
175;40.0
176;36.0
177;17.0
178;24.0
179;14.0
180;27.0
181;15.0
182;27.0
183;11.0
184;27.0
185;11.0
186;24.0
187;11.0
188;36.0
189;17.0
190;33.0
191;-72.0
192;33.0
193;-45.0
194;-165.0
195;-323.0
196;-504.0
197;-972.0
198;-775.0
199;-690.0
200;-380.0
201;-546.0
202;-399.0
203;-340.0
204;-225.0
205;-567.0
206;-306.0
207;-210.0
208;-55.0
209;-27.0
210;28.0
211;-55.0
212;-117.0
213;7.0
214;20.0
215;30.0
216;16.0
217;39.0
218;15.0
219;36.0
220;12.0
221;27.0
222;17.0
223;33.0
224;35.0
225;30.0
226;14.0
227;36.0
228;13.0
229;21.0
230;15.0
231;33.0
232;7.0
233;30.0
234;36.0
