timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
1;5.0;10;2.0;0.0;14.0;true;14.0
2;7.0;2;-2.0;0.0;30.0;false;30.0
3;5.0;6;-6.0;0.0;-18.0;true;-18.0
4;-1.0;18;2.0;0.0;14.0;true;14.0
5;1.0;14;-2.0;0.0;-15.48;false;-18.0
6;-1.0;18;2.0;2.8000000000000003;14.0;false;14.0
7;1.0;14;-2.0;-3.096;-13.463999999999999;true;-18.0
8;-1.0;18;2.0;5.04;14.0;true;14.0
9;1.0;14;-4.0;-2.6928;-66.0;true;-66.0
10;-3.0;22;6.0;0.0;30.0;true;30.0
11;3.0;10;4.0;0.0;19.4;true;14.0
12;7.0;2;-2.0;6.0;30.0;false;30.0
13;5.0;6;-4.0;0.0;14.0;false;14.0
14;1.0;14;-2.0;-3.096;-11.851199999999999;true;-18.0
15;-1.0;18;4.0;0.0;33.492;true;30.0
16;3.0;10;-2.0;3.88;14.0;false;14.0
17;1.0;14;4.0;0.0;32.52;false;30.0
18;5.0;6;4.0;0.0;-18.0;true;-18.0
19;9.0;-2;-4.0;0.0;30.0;true;30.0
20;5.0;6;4.0;0.0;-12.6;true;-18.0
21;9.0;-2;4.0;0.0;-130.0;true;-130.0
22;13.0;-10;-4.0;0.0;-18.0;true;-18.0
23;9.0;-2;-4.0;0.0;30.0;false;30.0
24;5.0;6;2.0;0.0;23.72;true;14.0
25;7.0;2;-2.0;10.8;34.2696;false;30.0
26;5.0;6;2.0;4.744;27.944528;false;14.0
27;7.0;2;4.0;0.0;-66.0;true;-66.0
28;11.0;-6;-6.0;0.0;38.445695040000004;true;30.0
29;5.0;6;-2.0;-3.6;35.3136;true;30.0
30;3.0;10;-2.0;5.904;19.8536;false;14.0
31;1.0;14;4.0;6.504000000000001;43.113004032;false;30.0
32;5.0;6;-2.0;-3.6;37.824528;true;30.0
33;3.0;10;-2.0;8.69392;26.44322072576;true;14.0
34;1.0;14;2.0;-2.37024;41.019402130636806;true;30.0
35;3.0;10;-2.0;12.243780145152002;31.338068964122627;false;14.0
36;1.0;14;4.0;19.264521071247362;47.298818265600005;false;30.0
37;5.0;6;2.0;19.220909184;14.0;true;14.0
38;7.0;2;2.0;0.0;-12.6;true;-18.0
39;9.0;-2;-6.0;0.0;44.456374118051514;true;30.0
40;3.0;10;-4.0;0.0;-7.052399999999999;true;-18.0
41;5.0;10;-6.0;0.0;-210.0;true;-210.0
42;-7.0;30;2.0;0.0;-130.0;false;-130.0
43;-5.0;26;2.0;0.0;-60.6;true;-66.0
44;-3.0;22;4.0;0.0;36.384242459106105;true;14.0
45;1.0;14;4.0;24.87138051011789;46.35905461248;false;30.0
46;5.0;6;-6.0;-2.52;-7.052399999999999;true;-18.0
47;-1.0;18;6.0;0.0;41.817811689984;true;30.0
48;5.0;6;-6.0;-2.52;-1.714713895802877;true;-18.0
49;-1.0;18;2.0;18.0947623379968;40.25202379753128;true;14.0
50;1.0;14;-2.0;-3.096;2.2735931669133294;true;-18.0
51;-1.0;18;2.0;22.5262146299037;35.410865808069424;true;14.0
52;1.0;14;-4.0;-2.6928;-55.130836357360906;true;-66.0
53;-3.0;22;2.0;12.07684849182122;4.592830378983159;true;-18.0
54;-1.0;18;2.0;25.103144865536844;21.205142102130576;false;14.0
55;1.0;14;4.0;8.00571344681175;39.14560085074268;false;30.0
56;5.0;6;2.0;10.161778723047425;14.0;false;14.0
57;7.0;2;-6.0;0.0;26.810321834838142;false;14.0
58;1.0;14;6.0;0.0;18.825857930270864;true;14.0
59;7.0;2;-2.0;-0.804864000000002;39.83648068059415;true;30.0
60;5.0;6;-2.0;-3.6;40.295667294441216;true;30.0
61;3.0;10;4.0;0.0;25.03125286672364;true;14.0
62;7.0;2;-6.0;12.256947629692934;27.636911895319273;false;14.0
63;1.0;14;4.0;15.152124328132523;45.12240465747473;false;30.0
64;5.0;6;-4.0;-1.3599999999999999;33.031562354600865;true;14.0
65;1.0;14;4.0;21.146180394000964;48.04360494980794;false;30.0
66;5.0;6;2.0;20.04844994423105;27.799646434536385;false;14.0
67;7.0;2;-6.0;15.332940482818202;37.873098774646124;true;14.0
68;1.0;14;-4.0;-2.6928;-56.47795961767175;true;-66.0
69;-3.0;22;6.0;0.0;42.742159351563224;true;30.0
70;3.0;10;-2.0;14.15795483507025;22.932446288535985;false;14.0
71;1.0;14;4.0;9.924940320595539;49.43882031806291;false;30.0
72;5.0;6;6.0;0.0;-59.079774892799996;true;-66.0
73;11.0;-6;-2.0;7.6891390080000015;-5.6778526587507265;false;-18.0
74;9.0;-2;-4.0;13.691274823610303;34.916696773746324;false;30.0
75;5.0;6;-4.0;-1.3599999999999999;30.04494468808011;true;14.0
76;1.0;14;4.0;17.827716320089014;39.34144746285148;false;30.0
77;5.0;6;6.0;0.0;-61.48583339281513;true;-66.0
78;11.0;-6;-2.0;5.015740674649855;-1.8572767077262426;false;-18.0
79;9.0;-2;-6.0;0.0;44.32156781318706;true;30.0
80;3.0;10;-2.0;15.912853125763396;33.91741629377736;true;14.0
81;5.0;10;-4.0;0.0;-50.68877901085602;false;-66.0
82;-3.0;22;2.0;17.012467765715535;3.891189881570032;false;-18.0
83;-1.0;18;6.0;0.0;30.0;true;30.0
84;5.0;6;4.0;0.0;2.892060840192677;false;-18.0
85;9.0;-2;-4.0;23.21340093354742;30.52057095123468;false;30.0
86;5.0;6;-2.0;-3.6;47.56238918342957;true;30.0
87;3.0;10;-2.0;19.513765759366187;33.91741629377736;false;14.0
88;1.0;14;4.0;22.130462548641507;38.97768681400507;false;30.0
89;5.0;6;4.0;9.975207571116744;4.2073514433763854;true;-18.0
90;9.0;-2;-4.0;24.67483493708487;37.9394727110118;true;30.0
91;5.0;6;-4.0;-1.3599999999999999;36.9499166615428;true;14.0
92;1.0;14;4.0;25.499907401714218;43.002563167887146;false;30.0
93;5.0;6;-4.0;-1.3599999999999999;40.10039469945393;true;14.0
94;1.0;14;4.0;29.000438554948804;47.62012158021143;false;30.0
95;5.0;6;-4.0;-1.3599999999999999;43.4519376440012;true;14.0
96;1.0;14;-6.0;-13.200000000000001;-130.0;true;-130.0
97;-5.0;26;4.0;0.0;4.91295190525603;true;-18.0
