timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
1;5.0;10;-2.0;0.0;30.0;false;30.0
2;3.0;10;2.0;0.0;30.0;true;30.0
3;5.0;6;-2.0;0.0;35.4;false;30.0
4;3.0;10;-6.0;0.0;-66.0;true;-66.0
5;-3.0;22;2.0;0.0;-18.0;false;-18.0
6;-1.0;18;2.0;0.0;14.0;false;14.0
7;1.0;14;-2.0;0.0;-15.48;false;-18.0
8;-1.0;18;2.0;2.8000000000000003;14.0;false;14.0
9;1.0;14;-4.0;0.0;-66.0;true;-66.0
10;-3.0;22;6.0;0.0;30.0;true;30.0
11;3.0;10;-4.0;0.0;-13.463999999999999;false;-18.0
12;-1.0;18;2.0;5.04;14.0;false;14.0
13;1.0;14;-6.0;0.0;-130.0;false;-130.0
14;-5.0;26;2.0;0.0;-60.6;false;-66.0
15;-3.0;22;4.0;6.0;14.0;false;14.0
16;1.0;14;6.0;0.0;14.0;true;14.0
17;7.0;2;-2.0;0.0;36.372;false;30.0
18;5.0;6;-2.0;7.08;30.0;false;30.0
19;3.0;10;-4.0;-2.6928;-11.851199999999999;true;-18.0
20;-1.0;18;2.0;6.832000000000001;16.52;false;14.0
21;1.0;14;2.0;2.8000000000000003;30.0;false;30.0
22;3.0;10;2.0;0.0;40.497600000000006;false;30.0
23;5.0;6;-2.0;11.664000000000001;37.289568;false;30.0
24;3.0;10;4.0;0.0;20.54696;true;14.0
25;7.0;2;-2.0;7.2744;45.11020224;false;30.0
26;5.0;6;-2.0;16.7891136;39.5301072;false;30.0
27;3.0;10;2.0;10.589008000000002;49.20358108800001;false;30.0
28;5.0;6;-2.0;21.337312320000002;46.48073035584001;false;30.0
29;3.0;10;2.0;18.311922617600004;53.72939633445121;false;30.0
30;5.0;6;4.0;0.0;-18.0;true;-18.0
31;9.0;-2;2.0;0.0;-66.0;true;-66.0
32;11.0;-6;-2.0;0.0;-18.0;false;-18.0
33;9.0;-2;-4.0;0.0;45.74351706756096;false;30.0
34;5.0;6;-2.0;17.492796741734402;52.85587562487322;false;30.0
35;3.0;10;4.0;0.0;27.3574044032;true;14.0
36;7.0;2;-6.0;0.0;21.416;true;14.0
37;1.0;14;2.0;8.24;53.20903329247458;false;30.0
38;3.0;10;2.0;25.787814769416197;52.10887126652595;false;30.0
39;5.0;6;-2.0;24.565412518362166;57.94682346195434;false;30.0
40;3.0;10;2.0;31.05202606883815;58.11752523637254;false;30.0
41;5.0;6;-2.0;31.2416947070806;62.81861331211053;false;30.0
42;3.0;10;2.0;36.46512590234503;63.80137058527793;false;30.0
43;5.0;6;-2.0;37.557078428086584;67.73913735503845;false;30.0
44;3.0;10;2.0;41.93237483893161;69.23414119212926;true;30.0
45;5.0;6;-2.0;43.593490213476954;72.65345529861403;false;30.0
46;3.0;10;2.0;47.39272810957114;74.46493490745394;false;30.0
47;5.0;6;4.0;0.0;-9.766166927839027;true;-18.0
48;9.0;-2;-4.0;9.148703413512193;63.81403787895213;false;30.0
49;5.0;6;-2.0;37.571153198835695;77.52645252223293;false;30.0
50;3.0;10;2.0;52.807169469147695;71.00599175716363;false;30.0
