timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
1;5.0;10;6.0;0.0;-66.0;false;-66.0
2;11.0;-6;-2.0;0.0;-9.0;false;-9.0
3;9.0;-1;-2.0;0.0;14.0;false;14.0
4;7.0;2;-2.0;0.0;30.0;false;30.0
5;5.0;6;6.0;0.0;-66.0;false;-66.0
6;11.0;-6;-4.0;0.0;35.0;false;35.0
7;7.0;5;6.0;0.0;-117.0;false;-117.0
8;13.0;-9;-2.0;0.0;-59.7;false;-66.0
9;11.0;-6;-4.0;7.0;19.4;false;14.0
10;7.0;2;-2.0;6.0;40.0;false;40.0
11;5.0;8;-6.0;0.0;-15.0;false;-15.0
12;-1.0;15;2.0;0.0;15.0;false;15.0
13;1.0;15;-2.0;0.0;-18.0;false;-18.0
14;-1.0;18;2.0;0.0;14.0;false;14.0
15;1.0;14;-2.0;0.0;-20.0;false;-20.0
16;-1.0;20;2.0;0.0;16.0;false;16.0
17;1.0;16;2.0;0.0;30.0;false;30.0
18;3.0;10;4.0;0.0;28.0;false;28.0
19;7.0;4;-2.0;0.0;45.0;false;45.0
20;5.0;9;-2.0;0.0;35.04;false;30.0
21;3.0;10;-2.0;5.6000000000000005;14.0;false;14.0
22;1.0;14;-4.0;0.0;-69.0;false;-69.0
23;-3.0;23;2.0;0.0;-15.48;false;-18.0
24;-1.0;18;2.0;2.8000000000000003;14.0;false;14.0
25;1.0;14;-6.0;0.0;-135.0;false;-135.0
26;-5.0;27;6.0;0.0;11.0;false;11.0
27;1.0;11;-2.0;0.0;-17.12;false;-20.0
28;-1.0;20;2.0;3.2;14.0;false;14.0
29;1.0;14;2.0;0.0;36.552;false;30.0
30;3.0;10;-2.0;7.28;21.4;false;16.0
31;1.0;16;-2.0;6.0;-17.0;false;-17.0
32;-1.0;17;2.0;0.0;17.259999999999998;false;16.0
33;1.0;16;-2.0;1.3999999999999995;-13.463999999999999;false;-18.0
34;-1.0;18;2.0;5.04;12.0;false;12.0
35;1.0;12;-2.0;0.0;-12.2112;false;-18.0
36;-1.0;18;2.0;6.432;12.0;false;12.0
37;1.0;12;-4.0;0.0;-66.0;false;-66.0
38;-3.0;22;2.0;0.0;-11.20896;false;-18.0
39;-1.0;18;2.0;7.5456;20.57936;false;14.0
40;1.0;14;2.0;7.3104000000000005;39.0936;false;30.0
41;5.0;10;-4.0;0.0;-8.862883199999999;false;-18.0
42;-1.0;18;2.0;10.152352;26.300336;false;14.0
43;1.0;14;2.0;13.66704;39.0936;false;30.0
44;3.0;10;-2.0;10.104;16.0;false;16.0
45;1.0;16;4.0;0.0;30.0;false;30.0
46;5.0;6;-4.0;0.0;30.877116800000003;false;14.0
47;1.0;14;2.0;18.752352000000002;40.15488;false;30.0
48;3.0;10;-2.0;11.283199999999999;17.0;false;17.0
49;1.0;17;-2.0;0.0;-19.0;false;-19.0
50;-1.0;19;2.0;0.0;34.729571840000006;false;14.0
51;1.0;14;2.0;23.0328576;21.0;false;21.0
52;3.0;7;6.0;0.0;0.0;false;0.0
53;9.0;0;-4.0;0.0;40.0;false;40.0
54;5.0;8;-4.0;0.0;34.363657472;false;14.0
55;1.0;14;2.0;22.62628608;41.183904;false;30.0
56;3.0;10;-2.0;12.426559999999998;11.0;false;11.0
57;1.0;11;-4.0;0.0;-66.0;false;-66.0
58;-3.0;22;6.0;0.0;40.9271232;false;30.0
59;3.0;10;-2.0;12.141248;37.704028697599995;false;14.0
60;1.0;14;2.0;26.337809663999998;36.0;false;36.0
61;3.0;12;-2.0;0.0;39.44322295808;false;14.0
62;1.0;14;2.0;28.270247731199998;45.528423725568004;false;30.0
63;3.0;10;-2.0;17.25380413952;42.54969463706624;false;14.0
64;1.0;14;2.0;31.721882930073598;24.0;false;24.0
65;3.0;8;-2.0;0.0;41.15975570965299;false;14.0
66;1.0;14;2.0;30.177506344058877;39.0;false;39.0
67;3.0;13;-4.0;0.0;-5.95624608;false;-18.0
68;-1.0;18;2.0;13.3819488;42.7478045677224;false;14.0
69;1.0;14;2.0;31.942005075247103;31.40875602773754;false;24.0
