timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
1;5.0;10;-6.0;0.0;-16.0;false;-16.0
2;-1.0;16;2.0;0.0;14.0;false;14.0
3;1.0;14;-2.0;0.0;-18.0;false;-18.0
4;-1.0;18;2.0;0.0;13.0;false;13.0
5;1.0;13;-4.0;0.0;-66.0;false;-66.0
6;-3.0;22;2.0;0.0;-15.66;false;-18.0
7;-1.0;18;2.0;2.6;14.0;false;14.0
8;1.0;14;-4.0;0.0;-75.0;false;-75.0
9;-3.0;25;6.0;0.0;30.0;false;30.0
10;3.0;10;-2.0;0.0;14.0;false;14.0
11;1.0;14;-6.0;0.0;-130.0;false;-130.0
12;-5.0;26;2.0;0.0;-66.0;false;-66.0
13;-3.0;22;4.0;0.0;15.0;false;15.0
14;1.0;15;-2.0;0.0;-13.607999999999999;false;-18.0
15;-1.0;18;2.0;4.880000000000001;15.0;false;15.0
16;1.0;15;-4.0;0.0;-63.3;false;-66.0
17;-3.0;22;4.0;3.0;14.0;false;14.0
18;1.0;14;2.0;0.0;32.52;false;30.0
19;3.0;10;-2.0;2.8000000000000003;19.8536;false;14.0
20;1.0;14;2.0;6.504000000000001;35.589648;false;30.0
21;3.0;10;-2.0;6.21072;25.08901664;false;14.0
22;1.0;14;2.0;12.3211296;38.987741395200004;false;30.0
23;3.0;10;-2.0;9.986379328000002;29.889006763136003;false;14.0
24;1.0;14;2.0;17.654451959040003;21.0;false;21.0
25;3.0;7;-2.0;0.0;30.4912054105088;false;14.0
26;1.0;14;2.0;18.323561567232;42.57021433352448;false;30.0
27;3.0;10;-2.0;13.966904815027203;34.85560290844145;false;14.0
28;1.0;14;2.0;23.1728921204905;39.0;false;39.0
29;3.0;13;-2.0;0.0;12.0;false;12.0
30;1.0;12;-2.0;0.0;-11.7864;false;-18.0
31;-1.0;18;2.0;6.904000000000001;16.0;false;16.0
32;1.0;16;-2.0;0.0;-10.14912;false;-18.0
33;-1.0;18;2.0;8.7232;11.0;false;11.0
34;1.0;11;4.0;0.0;15.0;false;15.0
35;5.0;3;-2.0;0.0;46.33017999033905;false;30.0
36;3.0;10;-2.0;18.144644433710052;37.70448232675316;false;14.0
37;1.0;14;2.0;26.338313696392397;26.488416973891585;false;21.0
38;3.0;7;-2.0;6.098241082101761;37.73150091670301;false;14.0
39;1.0;14;2.0;26.368334351892234;49.850950811086804;false;30.0
40;3.0;10;-2.0;22.056612012318674;41.95837187935803;false;14.0
41;5.0;10;-4.0;0.0;-61.32;false;-66.0
42;-3.0;22;4.0;5.2;13.7;false;11.0
43;1.0;11;-2.0;3.0;-19.0;false;-19.0
44;-1.0;19;2.0;0.0;17.0;false;17.0
45;1.0;17;-2.0;0.0;-9.739296;false;-18.0
46;-1.0;18;2.0;9.178560000000001;41.95837187935803;false;14.0
47;1.0;14;2.0;31.06485764373115;53.43326758715389;false;30.0
48;3.0;10;-2.0;26.036963985726544;45.98468566917413;false;14.0
49;1.0;14;2.0;35.5385396324157;41.160000000000004;false;39.0
50;3.0;13;-2.0;2.4000000000000004;46.99654853533931;false;14.0
51;1.0;14;2.0;36.66283170593256;57.02385749017445;false;30.0
52;3.0;10;-2.0;30.02650832241606;12.0;false;12.0
53;1.0;12;2.0;0.0;27.0;false;27.0
54;3.0;9;-2.0;0.0;15.0;false;15.0
55;1.0;15;-6.0;0.0;-130.0;false;-130.0
56;-5.0;26;4.0;0.0;-3.8389298617155507;false;-18.0
57;-1.0;18;2.0;15.73452237587161;15.0;false;15.0
58;1.0;15;6.0;0.0;14.0;false;14.0
