timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
1;5.0;10;-2.0;0.0;30.0;false;30.0
2;3.0;10;-2.0;0.0;14.0;false;14.0
3;1.0;14;-2.0;0.0;-18.0;false;-18.0
4;-1.0;18;2.0;0.0;14.0;false;14.0
5;1.0;14;-2.0;0.0;-18.0;true;-18.0
6;-1.0;18;2.0;0.0;14.0;false;14.0
7;1.0;14;-2.0;0.0;-18.0;false;-18.0
8;-1.0;18;2.0;0.0;14.0;false;14.0
9;1.0;14;-4.0;0.0;-66.0;true;-66.0
10;-3.0;22;2.0;0.0;-18.0;false;-18.0
11;-1.0;18;2.0;0.0;14.0;false;14.0
12;1.0;14;-2.0;0.0;-18.0;false;-18.0
13;-1.0;18;2.0;0.0;14.0;false;14.0
14;1.0;14;-2.0;0.0;-18.0;false;-18.0
15;-1.0;18;6.0;0.0;30.0;true;30.0
16;5.0;6;-2.0;0.0;30.0;false;30.0
17;3.0;10;-2.0;0.0;14.0;false;14.0
18;1.0;14;-2.0;0.0;-18.0;false;-18.0
19;-1.0;18;2.0;0.0;14.0;false;14.0
20;1.0;14;-2.0;0.0;-18.0;false;-18.0
21;-1.0;18;2.0;0.0;14.0;false;14.0
22;1.0;14;-2.0;0.0;-18.0;false;-18.0
23;-1.0;18;2.0;0.0;14.0;false;14.0
24;1.0;14;-2.0;0.0;-18.0;false;-18.0
25;-1.0;18;2.0;0.0;14.0;false;14.0
26;1.0;14;-2.0;0.0;-18.0;false;-18.0
27;-1.0;18;2.0;0.0;14.0;false;14.0
28;1.0;14;-2.0;0.0;-18.0;false;-18.0
29;-1.0;18;2.0;0.0;14.0;false;14.0
30;1.0;14;-2.0;0.0;-18.0;false;-18.0
31;-1.0;18;2.0;0.0;14.0;false;14.0
32;1.0;14;6.0;0.0;14.0;true;14.0
33;7.0;2;-2.0;0.0;30.0;false;30.0
34;5.0;6;-2.0;0.0;30.0;true;30.0
35;3.0;10;-2.0;0.0;14.0;false;14.0
36;1.0;14;-2.0;0.0;-18.0;false;-18.0
37;-1.0;18;2.0;0.0;14.0;false;14.0
38;1.0;14;-2.0;0.0;-18.0;false;-18.0
39;-1.0;18;2.0;0.0;14.0;false;14.0
40;1.0;14;-4.0;0.0;-66.0;true;-66.0
41;-3.0;22;2.0;0.0;-18.0;false;-18.0
42;-1.0;18;2.0;0.0;14.0;true;14.0
43;1.0;14;-2.0;0.0;-18.0;false;-18.0
44;-1.0;18;2.0;0.0;14.0;false;14.0
45;1.0;14;4.0;0.0;30.0;true;30.0
46;5.0;6;-2.0;0.0;30.0;false;30.0
47;3.0;10;-2.0;0.0;14.0;false;14.0
48;1.0;14;-2.0;0.0;-18.0;false;-18.0
49;-1.0;18;2.0;0.0;14.0;true;14.0
50;1.0;14;4.0;0.0;30.0;true;30.0
